fid2,ID_LINE,ID_POINT,DISTANCE,OVERLAND,X,Y,Z
5016,22,5016,46.857376929,47.019029081,143174.83998,2660359.7146,-45.090000153
5017,22,5017,47.395967468,47.5650875,143175.04018,2660359.2146,-45.180000305
5018,22,5018,47.934558008,48.109586767,143175.24038,2660358.7146,-45.259998322
5019,22,5019,48.473148547,48.654086594,143175.44057,2660358.2146,-45.340000153
5020,22,5020,49.011739086,49.201881688,143175.64077,2660357.7146,-45.439998627
5021,22,5021,49.550329626,49.746381515,143175.84097,2660357.2146,-45.520000458
5022,22,5022,50.088920165,50.290880782,143176.04117,2660356.7146,-45.599998474
5023,22,5023,50.627510705,50.836939201,143176.24137,2660356.2146,-45.689998627
5024,22,5024,51.166101244,51.384734294,143176.44157,2660355.7146,-45.789997101
5025,22,5025,51.704691783,51.926656736,143176.64177,2660355.2146,-45.849998474
5026,22,5026,52.243282323,52.467563099,143176.84197,2660354.7146,-45.899997711
5027,22,5027,52.781872862,53.01068346,143177.04217,2660354.2146,-45.969997406
5028,22,5028,53.320463402,53.550757383,143177.24237,2660353.7146,-46.009998322
5029,22,5029,53.859053941,54.089719151,143177.44257,2660353.2146,-46.029998779
5030,22,5030,54.39764448,54.628402486,143177.64277,2660352.7146,-46.020000458
5031,22,5031,54.93623502,55.168476127,143177.84297,2660352.2146,-46.059997559
5032,22,5032,55.474825559,55.707066666,143178.04317,2660351.7146,-46.059997559
5033,22,5033,56.013416099,56.246028434,143178.24337,2660351.2146,-46.079998016
5034,22,5034,56.552006638,56.784990202,143178.44356,2660350.7146,-46.059997559
5035,22,5035,57.090597178,57.326912223,143178.64376,2660350.2146,-46
5036,22,5036,57.629187717,57.866986146,143178.84396,2660349.7146,-45.959999084
5037,22,5037,58.167778256,58.408908588,143179.04416,2660349.2146,-45.899997711
5038,22,5038,58.706368796,58.947870356,143179.24436,2660348.7146,-45.879997253
5039,22,5039,59.244959335,59.486553692,143179.44456,2660348.2146,-45.869998932
5040,22,5040,59.783549875,60.025237027,143179.64476,2660347.7146,-45.86000061
5041,22,5041,60.322140414,60.564198653,143179.84496,2660347.2146,-45.879997253
5042,22,5042,60.860730953,61.102882059,143180.04516,2660346.7146,-45.88999939
5043,22,5043,61.399321493,61.642955982,143180.24536,2660346.2146,-45.930000305
5044,22,5044,61.937912032,62.181639317,143180.44556,2660345.7146,-45.939998627
5045,22,5045,62.476502572,62.720322723,143180.64576,2660345.2146,-45.950000763
5046,22,5046,63.015093111,63.259284492,143180.84596,2660344.7146,-45.930000305
5047,22,5047,63.55368365,63.797875031,143181.04616,2660344.2146,-45.930000305
5048,22,5048,64.09227419,64.336558366,143181.24636,2660343.7146,-45.939998627
5049,22,5049,64.630864729,64.875148906,143181.44655,2660343.2146,-45.939998627
5050,22,5050,65.169455269,65.414110674,143181.64675,2660342.7146,-45.959999084
5051,22,5051,65.708045808,65.952794009,143181.84695,2660342.2146,-45.969997406
5052,22,5052,66.246636347,66.492867649,143182.04715,2660341.7146,-45.930000305
5053,22,5053,66.785226887,67.038926068,143182.24735,2660341.2146,-45.840000153
5054,22,5054,67.323817426,67.588634994,143182.44755,2660340.7146,-45.729999542
5055,22,5055,67.862407966,68.134693413,143182.64775,2660340.2146,-45.63999939
5056,22,5056,68.400998505,68.676615855,143182.84795,2660339.7146,-45.579998016
5057,22,5057,68.939589045,69.222674274,143183.04815,2660339.2146,-45.489997864
5058,22,5058,69.478179584,69.765794635,143183.24835,2660338.7146,-45.419998169
5059,22,5059,70.016770123,70.308914996,143183.44855,2660338.2146,-45.349998474
5060,22,5060,70.555360663,70.865403629,143183.64875,2660337.7146,-45.209999084
5061,22,5061,71.093951202,71.41946143,143183.84895,2660337.2146,-45.079998016
5062,22,5062,71.632541742,71.997543936,143184.04915,2660336.7146,-44.869998932
5063,22,5063,72.171132281,72.551601737,143184.24934,2660336.2146,-44.739997864
5064,22,5064,72.70972282,73.105658643,143184.44954,2660335.7146,-44.61000061
5065,22,5065,73.24831336,73.67044218,143184.64974,2660335.2146,-44.439998627
5066,22,5066,73.786903899,74.220151106,143184.84994,2660334.7146,-44.329998016
5067,22,5067,74.325494439,74.798233613,143185.05014,2660334.2146,-44.119998932
5068,22,5068,74.864084978,75.369354657,143185.25034,2660333.7146,-43.930000305
5069,22,5069,75.402675517,75.931208482,143185.45054,2660333.2146,-43.770000458
5070,22,5070,75.941266057,76.52927276,143185.65074,2660332.7146,-43.509998322
5071,22,5071,76.479856596,77.131750989,143185.85094,2660332.2146,-43.239997864
5072,22,5072,77.018447136,77.725535267,143186.05114,2660331.7146,-42.989997864
5073,22,5073,77.557037675,78.315178162,143186.25134,2660331.2146,-42.75
5074,22,5074,78.095628215,78.889704118,143186.45154,2660330.7146,-42.549999237
5075,22,5075,78.634218754,79.506209845,143186.65174,2660330.2146,-42.25
5076,22,5076,79.172809293,80.104274123,143186.85194,2660329.7146,-41.989997864
5077,22,5077,79.711399833,80.720779849,143187.05214,2660329.2146,-41.689998627
5078,22,5078,80.249990372,81.285562238,143187.25233,2660328.7146,-41.520000458
5079,22,5079,80.788580912,81.856684552,143187.45253,2660328.2146,-41.329998016
5080,22,5080,81.327171451,82.442329118,143187.65273,2660327.7146,-41.099998474
5081,22,5081,81.86576199,82.998817751,143187.85293,2660327.2146,-40.959999084
